feature,gain,gain_pct
ind_var30,252.831787109375,0.2160002386303644
saldo_var30,68.58705139160156,0.05859555729489867
ind_var26_cte,54.22230529785156,0.04632341137690012
var15,33.836856842041016,0.02890763553089377
num_var13_0,19.27753448486328,0.016469258460504507
ind_var30_0,18.962059020996094,0.016199740231580786
num_var30_0,18.801700592041016,0.0160627421930165
imp_op_var39_efect_ult1,16.609743118286133,0.014190100533469772
ind_var13_0,16.34186363220215,0.013961244685952114
ind_var8_0,12.17943286895752,0.010405180599143816
num_var39_0,11.642728805541992,0.009946661490067196
ind_var41_0,11.28478717803955,0.009640863402571094
imp_op_var41_efect_ult1,10.766609191894531,0.009198171564096266
ind_var10cte_ult1,9.981136322021484,0.008527123317868984
ind_var43_emit_ult1,9.810096740722656,0.008381000115568468
num_var42_0,9.748860359191895,0.00832868441122318
var3,9.498534202575684,0.008114824792609906
imp_op_var41_efect_ult3,9.035730361938477,0.007719440410133344
num_var4,8.908244132995605,0.007610525877714076
saldo_medio_var5_ult1,8.356917381286621,0.007139514256533202
